country,deleted,description,effective_date,end_date,form_name_classification,legacy_return_name,major,minor,preview_image,purpose,region,revision,scope_level_guess,status,tax_form_code,tax_form_name
CA,False,Provincial Sales Tax Return,2017-07-01T00:00:00,9999-12-31T00:00:00,descriptive_local_label,CNBC,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/70602c49-5d8a-4d55-bd2f-dcd73b848d05.png,,BC,32,likely_state_or_province_level,PRODUCTION,CABC,CA British Columbia
CA,False,GST/HST Return for Registrants,2015-05-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,CNGSTHST,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/623946fd-d24d-44fc-b2c3-7d78bedce212.png,,CA,16,likely_state_or_province_level,PRODUCTION,CAGSTHST,CA GST HST
CA,False,Vendors Return-Retail Sales Tax,2024-05-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,CNMB2234,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/bba38ceb-900e-4d75-93ac-b58c2b5f59a7.png,,MB,18,likely_state_or_province_level,PRODUCTION,CAMB2234,CA Manitoba MB2234
CA,False,Quebec QST Return,1900-01-01T00:00:00,9999-12-31T00:00:00,descriptive_local_label,CNQC,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a8ae4cf9-57ba-4400-a8c5-aaa8982e6557.png,,QC,16,likely_state_or_province_level,PRODUCTION,CAQC,CA Quebec
CA,False,"Goods and Services Tax, Harmonized Tax, Quebec Sales Tax",2024-11-01T00:00:00,9999-12-31T00:00:00,descriptive_local_label,CNQCDETAILED,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/9f69d5f9-c2e8-4201-9746-a87a8bc40619.png,,QC,23,likely_state_or_province_level,PRODUCTION,CAQCDETAILED,CA Quebec Detailed
CA,False,Provincial Sales Tax,2022-05-01T00:00:00,9999-12-31T00:00:00,descriptive_local_label,CNSK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/d1a3cfb2-757e-46d5-9a7a-c201b53e7b80.png,,SK,18,likely_state_or_province_level,PRODUCTION,CASK,CA Saskatchewan
IN,False,Eway Bill India,2020-12-01T00:00:00,9999-12-31T00:00:00,descriptive_or_internal_label,INEWAYBILL,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/8c4d3a3a-b448-4b25-b46d-67f1105d2537.png,,IN,37,likely_state_or_province_level,PRODUCTION,INEWAYBILL,IN EWAY BILL
IN,False,Eway Consolidated Bill India,2018-10-01T00:00:00,9999-12-31T00:00:00,descriptive_or_internal_label,INEWAYCONSOLIDATED,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/0befbd12-ad6d-44a5-8c1b-b7345d42d1bf.png,,IN,12,likely_state_or_province_level,PRODUCTION,INEWAYCONSOLIDATED,IN Eway Consolidated
IN,False,INDIA E-INVOICE,2020-09-01T00:00:00,9999-12-31T00:00:00,descriptive_or_internal_label,INEINVOICE,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/78a5ed09-a974-4522-a49f-6f709658bc8e.png,,IN,40,likely_state_or_province_level,PRODUCTION,ININEINVOICE,IN E INVOICE
IN,False,INDIA GST ANX-01,1900-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,INGSTANX01,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/1c08bdc9-9f89-4944-befb-7c4c6d780f6c.png,,IN,1,likely_state_or_province_level,PRODUCTION,ININGSTANX01,India GST ANX 01
IN,False,INDIA GST ANX-02,1900-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,INGSTANX02,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/d99998b4-ed31-4322-8fdc-71c9f202b96a.png,,IN,2,likely_state_or_province_level,PRODUCTION,ININGSTANX02,India GST ANX 02
IN,False,INDIA GSTR-1,2017-04-01T00:00:00,9999-12-31T00:00:00,descriptive_or_internal_label,INGSTR1,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/0fcd4294-77bd-4c0c-926e-47a9e8068ba6.png,,IN,2,likely_state_or_province_level,PRODUCTION,ININGSTR1,India GSTR-1
IN,False,INDIA GSTR-3B,2017-04-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,INGSTR3B,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/87056000-6fc6-418e-8ea0-17d70a581bb0.png,,IN,8,likely_state_or_province_level,PRODUCTION,ININGSTR3B,India GSTR 3B
IN,False,INDIA GST 8,2017-04-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,INGSTR8,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a4afccc6-5388-4f5c-9753-0778a81bf7e0.png,,IN,1,likely_state_or_province_level,PRODUCTION,ININGSTR8,India GSTR 8
IN,False,INDIA GSTR-9,1900-01-01T00:00:00,9999-12-31T00:00:00,descriptive_or_internal_label,INGSTR9,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/1efb16de-df0d-4d89-bce6-2e1be220b9da.png,,IN,8,likely_state_or_province_level,PRODUCTION,ININGSTR9,India GSTR-9
US,False,Sales Tax Return,2022-11-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKADAK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/83180279-fb96-47c2-b540-42cd28d08211.png,,AK,9,likely_state_or_province_level,PRODUCTION,USAKADAK,AK Adak
US,False,City of Alakanuk Tax Return,1990-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKALAKANUK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/3cdd44c3-3879-43aa-9427-6c663ea575a9.png,,AK,0,likely_state_or_province_level,PRODUCTION,USAKALAKANUK,AK Alakanuk
US,False,Monthly Sales Tax Report,2018-10-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKALEKNAGIK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/9cf4a675-f1f7-4fbb-bf16-68f476282f1d.png,,AK,4,likely_state_or_province_level,PRODUCTION,USAKALEKNAGIK,AK Aleknagik
US,False,Anderson Sales Tax Return,2014-09-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKANDERSON,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ec3f5a2b-fddf-4762-9677-3d73fd63d687.png,,AK,7,likely_state_or_province_level,PRODUCTION,USAKANDERSON,AK Anderson
US,False,Sales Tax Report (Quarterly),2019-08-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKANGOON,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/97acbc36-cae9-4338-b276-e4cc379b6959.png,,AK,10,likely_state_or_province_level,PRODUCTION,USAKANGOON,AK Angoon
US,False,Aniak Sales Tax Return,2012-07-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKANIAK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/647e1036-f124-4083-91ba-7bee97440448.png,,AK,4,likely_state_or_province_level,PRODUCTION,USAKANIAK,AK Aniak
US,False,Kwethluk Sales Tax Return,1900-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKBETHELKWETHLUK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/8ca7bf8c-7948-4b58-aaf7-15f1b8221860.png,,AK,6,likely_state_or_province_level,PRODUCTION,USAKBETHELKWETHLUK,AK Bethel Kwethluk
US,False,Monthly Sales Tax Report,2020-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKBETHELMST,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/3927e079-ec36-4ac7-b91b-8e0066ea2919.png,,AK,16,likely_state_or_province_level,PRODUCTION,USAKBETHELMST,AK Bethel
US,False,Seller's Monthly Sales Tax Return,2018-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKBREVIG,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b2ef6fa1-499c-446a-97e5-b8817ace4e31.png,,AK,2,likely_state_or_province_level,PRODUCTION,USAKBREVIG,AK Brevig Mission
US,False,City of Buckland Tax Return,2018-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKBUCKLAND,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b4ce4f0b-f270-475f-8584-af3c522d7d97.png,,AK,5,likely_state_or_province_level,PRODUCTION,USAKBUCKLAND,AK Buckland
US,False,City of Chefornak Tax Return,1990-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKCHEFORNAK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/f058339c-5dea-4c92-b0f4-3f479b247bd2.png,,AK,0,likely_state_or_province_level,PRODUCTION,USAKCHEFORNAK,AK Chefornak
US,False,Consumers' Tax on Sales and Services,2006-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKCHEVAK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/27be5b48-6245-4561-a4af-e25081412e9d.png,,AK,5,likely_state_or_province_level,PRODUCTION,USAKCHEVAK,AK Chevak
US,False,Seasonal Sales Tax return,1900-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKCHIGNIK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a550d547-c663-40e8-88dc-85b46ee16111.png,,AK,5,likely_state_or_province_level,PRODUCTION,USAKCHIGNIK,AK Chignik
US,False,Sales Tax Return,2024-02-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKCORDOVA,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/010936e9-3d11-427c-9a7a-759e5a212ab6.png,,AK,15,likely_state_or_province_level,PRODUCTION,USAKCORDOVA,AK Cordova
US,False,Sales Tax Return,2025-04-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKCRAIG,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/0a8ed63d-7f9c-4ca4-8ef1-f9594bf21b65.png,,AK,11,likely_state_or_province_level,PRODUCTION,USAKCRAIG,AK Craig
US,False,Sellers Monthly Return,2018-02-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKDEERING,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/96e98445-515d-4091-a5dc-2eebce166571.png,,AK,7,likely_state_or_province_level,PRODUCTION,USAKDEERING,AK Deering
US,False,Sales Tax Report,2023-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKDILLINGHAM,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/f5416fa9-9a64-46f1-a288-0a909837764c.png,,AK,23,likely_state_or_province_level,PRODUCTION,USAKDILLINGHAM,AK Dillingham 6
US,False,City of Dillingham 10% Sales Tax Report,2023-01-01T00:00:00,9999-12-31T00:00:00,likely_official_or_near_official,AKDILLINGHAM10,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/adaf9edc-9583-4b52-a7cb-4cc104f9a428.png,,AK,8,likely_state_or_province_level,PRODUCTION,USAKDILLINGHAM10,AK Dillingham 10
US,False,Consumer Tax on Sales and Services (Quarterly),2016-12-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKEMMONAK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/2b299465-451f-4152-bfdf-2fd87effb2b8.png,,AK,1,likely_state_or_province_level,PRODUCTION,USAKEMMONAK,AK Emmonak
US,False,Sales Tax Report,2016-12-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKFORTYUKON,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/3fa9d7da-ff21-452a-95a4-97e084ba1037.png,,AK,1,likely_state_or_province_level,PRODUCTION,USAKFORTYUKON,AK Fort Yukon
US,False,Sales and Use Tax Return,2017-08-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKGALENA,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/d9a11598-e83f-4265-9bb3-464ad9f7f658.png,,AK,7,likely_state_or_province_level,PRODUCTION,USAKGALENA,AK Galena
US,False,"Ak Galena 6% Alcohol, Tobacco and Transient Housing Return",2019-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKGALENACOMBINED,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ca7b9afc-e9ac-45ba-9988-66a5aaca46f4.png,,AK,0,likely_state_or_province_level,PRODUCTION,USAKGALENACOMBINED,AK Galena Combined
US,False,Room Tax and Sales Tax Return,2024-11-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKGUSTAVUS,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a99ddf25-ec4e-4cd2-99f9-faa1e3a2f6e5.png,,AK,11,likely_state_or_province_level,PRODUCTION,USAKGUSTAVUS,AK Gustavus
US,False,Monthly Sales Tax Return Form,2022-06-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKHOONAH,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ab9afe68-f27c-4ccf-8cf2-355625111b6f.png,,AK,16,likely_state_or_province_level,PRODUCTION,USAKHOONAH,AK Hoonah
US,False,City of Hooper Bay Tax Return,1900-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKHOOPERBAY,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/c4c5a02e-e725-4c83-89df-c6b393834b17.png,,AK,3,likely_state_or_province_level,PRODUCTION,USAKHOOPERBAY,AK Hooper Bay
US,False,Sales Tax Return,2024-04-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKHOUSTON,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/9f2ec898-b705-4636-8ed0-e9674fbac37e.png,,AK,16,likely_state_or_province_level,PRODUCTION,USAKHOUSTON,AK Houston
US,False,Annual Sales Tax Return Form,2017-05-01T00:00:00,2021-05-31T00:00:00,descriptive_state_level_label,AKJUNEAUA,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ec915e3c-6166-4084-bc6b-a238727cf5c5.png,,AK,4,likely_state_or_province_level,PRODUCTION,USAKJUNEAUA,AK JUNEAU Annual
US,False,"Combined Monthly Sales, Lodging and Alcohol Tax Return Form",2020-03-01T00:00:00,2021-05-31T00:00:00,descriptive_state_level_label,AKJUNEAUCOMBDM,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/8cd2e1fe-2990-4eed-8542-3c15b025fc3a.png,,AK,3,likely_state_or_province_level,PRODUCTION,USAKJUNEAUCOMBDM,AK JUNEAU Combined Monthly
US,False,"Combined Quarterly Sales, Lodging and Alcohol Tax Return Form",2020-01-01T00:00:00,2021-05-31T00:00:00,descriptive_state_level_label,AKJUNEAUCOMBDQ,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/58cd31cf-cd2a-4240-800e-c88ee2986782.png,,AK,6,likely_state_or_province_level,PRODUCTION,USAKJUNEAUCOMBDQ,AK JUNEAU Combined Quarterly
US,False,City and Borough of Juneau - Combined Sales Tax Return,2023-11-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKJUNEAUCOMBINED,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/ea21bdc8-67c8-4fdf-adb7-36d17901aab0.png,,AK,24,likely_state_or_province_level,PRODUCTION,USAKJUNEAUCOMBINED,AK Juneau Combined
US,False,Monthly Sales Tax Return Form,2017-05-01T00:00:00,2021-05-31T00:00:00,descriptive_state_level_label,AKJUNEAUM,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/05e9f165-4d73-484e-b7fe-ef95fabd0fa4.png,,AK,2,likely_state_or_province_level,PRODUCTION,USAKJUNEAUM,AK JUNEAU Monthly
US,False,Quarterly Sales Tax Return Form,2017-05-01T00:00:00,2025-12-31T00:00:00,descriptive_state_level_label,AKJUNEAUQ,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/6bb0ba9a-b248-45d2-8529-e7c5e1d39f90.png,,AK,4,likely_state_or_province_level,PRODUCTION,USAKJUNEAUQ,AK JUNEAU Quarterly
US,False,City of Kake Tax Return,1900-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKKAKE,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/f8d22caa-6700-4ea6-9a05-76d4250524b2.png,,AK,6,likely_state_or_province_level,PRODUCTION,USAKKAKE,AK Kake
US,False,"Combined City and Borough Sales Tax Report (Quarterly, Annually)",2024-04-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKKETCHIKAN,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/52e271fc-d3ce-4539-bb08-e90e5dcb9eab.png,,AK,35,likely_state_or_province_level,PRODUCTION,USAKKETCHIKAN,AK Ketchikan
US,False,King Cove Quarterly Sales Tax Return,2001-06-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKKINGCOVEQ,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/f09c5d1e-0625-4c1d-abf5-09db5c6724f3.png,,AK,6,likely_state_or_province_level,PRODUCTION,USAKKINGCOVEQ,AK King Cove Quarterly
US,False,Sales Tax on Sales and Services,2017-04-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKKIVALINA,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/4ef4a820-bb10-4092-a616-3bb3815f95fe.png,,AK,4,likely_state_or_province_level,PRODUCTION,USAKKIVALINA,AK Kivalina
US,False,Sales Tax Return / Transient Occupancy Tax (Quarterly),1900-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKKLAWOCK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/9e010bf8-ca5a-4723-b629-e49d70b5bb57.png,,AK,9,likely_state_or_province_level,PRODUCTION,USAKKLAWOCK,AK Klawock
US,False,"Report of Consumers' Tax on Sales, Services and Rentals (Monthly)",2021-05-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKKODIAK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/85476f82-3d38-4ba5-8e22-30cbcc22d915.png,,AK,10,likely_state_or_province_level,PRODUCTION,USAKKODIAK,AK Kodiak
US,False,City of Kotzebue Seller's Monthly Return,2019-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKKOTZEBUE,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/6ed96bf9-84e1-448d-943a-c2b8a732f851.png,,AK,21,likely_state_or_province_level,PRODUCTION,USAKKOTZEBUE,AK Kotzebue
US,False,City of Koyuk Tax Return,1900-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKKOYUK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a8a5443f-9370-4afa-bdc0-302f4f6d4a4d.png,,AK,1,likely_state_or_province_level,PRODUCTION,USAKKOYUK,AK Koyuk
US,False,City of Manokotak Tax Return,2018-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKMANOKOTAK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/121c86d8-b349-4924-baf6-13602372de4d.png,,AK,1,likely_state_or_province_level,PRODUCTION,USAKMANOKOTAK,AK Manokotak
US,False,Monthly Sales Tax Report,2008-09-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKMARSHALL,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a239e783-a16b-43ce-9442-35aa4aed782a.png,,AK,3,likely_state_or_province_level,PRODUCTION,USAKMARSHALL,AK Marshall
US,False,City of Napakiak Sales Tax Return,1900-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKNAPAKIAK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a16df791-f576-4256-bdd3-19e7d8c05819.png,,AK,0,likely_state_or_province_level,PRODUCTION,USAKNAPAKIAK,AK Napakiak
US,False,City of Nenana Tax Return,2021-08-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKNENANA,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b268d83b-1079-4dab-b225-4499cd8a9653.png,,AK,7,likely_state_or_province_level,PRODUCTION,USAKNENANA,AK Nenana
US,False,Seller's Monthly Return,2026-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKNOME,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/b2677cc9-1e4c-427d-971a-d0f372ac0c84.png,,AK,28,likely_state_or_province_level,PRODUCTION,USAKNOME,AK Nome
US,False,Gambell Sales Tax Return,2018-01-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKNOMEGAMBELL,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/a79cbe28-59ad-4b77-997c-5b28f65faaa8.png,,AK,3,likely_state_or_province_level,PRODUCTION,USAKNOMEGAMBELL,AK Gambell Sales Tax Return
US,False,City of North Pole Sales Tax Return,2023-02-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKNORTHPOLEA,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/37eaa297-9c25-4790-8dc5-7c28fb7813cf.png,,AK,2,likely_state_or_province_level,PRODUCTION,USAKNORTHPOLEA,AK North Pole Annually
US,False,City of North Pole Alcohol Tax Remittance form,2023-05-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKNORTHPOLEALCOHOL,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/5c45f3b3-7cd2-46f8-8d01-6ffd37e5fe9d.png,,AK,3,likely_state_or_province_level,PRODUCTION,USAKNORTHPOLEALCOHOL,AK North Pole Alcohol Tax Return
US,False,City of North Pole Sales Tax Return,2023-09-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKNORTHPOLEM,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/5bbd8c68-f824-450d-91d7-72693e4cd4af.png,,AK,15,likely_state_or_province_level,PRODUCTION,USAKNORTHPOLEM,AK North Pole Monthly
US,False,City of North Pole Sales Tax Return,2023-03-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKNORTHPOLEQ,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/c9cf5720-3403-4d48-89b0-09f278028421.png,,AK,9,likely_state_or_province_level,PRODUCTION,USAKNORTHPOLEQ,AK North Pole Quarterly
US,False,Sales Tax Return,2018-02-01T00:00:00,9999-12-31T00:00:00,descriptive_state_level_label,AKNUNAPITCHUK,1,0,https://s3-us-west-2.amazonaws.com/tax-form-catalog-prd-us-west-2-data/tax-form-catalog/png/c4866917-957c-4bf6-af22-9be326ca1352.png,,AK,3,likely_state_or_province_level,PRODUCTION,USAKNUNAPITCHUK,AK Nunapitchuk
